"@lat"	"@lon"	"name"	"type"
"43.2945521"	"-0.3625409"	"Exposition permanente « Pau, terre d’aviation »"	"museum"
"43.2351865"	"0.0678399"	"Musée de la Résistance et de la Déportation"	"museum"
"42.1609444"	"9.0813920"	"Passarella de Tolla"	"attraction"
"46.9654133"	"6.0112883"	"Source du Lison"	"attraction"
"43.0916173"	"2.9797935"	"Étang du Doul"	"viewpoint"
"43.8629354"	"5.4981045"	"Borie"	"attraction"
"43.8191076"	"5.4072383"	"Lou Pas deis Ensaris"	"attraction"
"45.3547301"	"5.9026057"	"L'Alpette"	"viewpoint"
"49.0528788"	"7.7490374"	"Bruderfelsen"	"viewpoint"
"49.0573027"	"7.7464211"	"Pfaffenfelsen"	"viewpoint"
"43.1826589"	"-0.2608236"	"Musée du Béret"	"museum"
"48.6872161"	"-0.6101199"	"Anciennes Mines de Fer"	"attraction"
"48.6951257"	"-0.5206578"	"Portail du XVIe"	"attraction"
"42.6029899"	"8.9118250"	"Couvent de Corbara"	"attraction"
"48.3846866"	"-4.4907368"	"Abri Sadi-Carnot"	"attraction"
"48.3846193"	"-4.4907584"	"Ancres de Marine"	"attraction"
"48.3832766"	"-4.4827221"	"Ancienne Chambre de Commerce"	"attraction"
"48.3896954"	"-4.4757956"	"Maison Freyssinet"	"attraction"
"48.3996454"	"-4.4717400"	"Borne du Pilier Rouge"	"attraction"
"45.5802327"	"5.9260672"	"Belvédère Chantemerle"	"viewpoint"
"49.6277726"	"2.0306403"	"Musée Agricole"	"museum"
"44.9135302"	"3.1108094"	"Belvédère du Mallet"	"viewpoint"
"44.1732302"	"5.1321418"	"table d'orientation"	"viewpoint"
"44.0780844"	"4.5593079"	"Oppidum Saint-Vincent"	"archaeological_site"
"44.0780844"	"4.5593079"	"Oppidum Saint-Vincent"	"attraction"
"44.3397350"	"4.4850213"	"Grotte de la Madeleine"	"attraction"
"43.9216008"	"5.1304288"	"Moulin à Papier"	"museum"
"48.1073812"	"7.0714177"	"Taubenklangfelsen"	"viewpoint"
"48.4827187"	"-4.3703439"	"Château de Keralias"	"attraction"
"45.3292491"	"2.3360456"	"Belvédère de Gratte-Bruyère"	"viewpoint"
"46.2301705"	"0.6813166"	"Point de vue sur la Vienne"	"viewpoint"
"49.7139803"	"-2.2063862"	"Alderney Museum"	"museum"
"49.5036031"	"-1.8409282"	"Roche à Coucou"	"viewpoint"
"45.0500902"	"3.8827552"	"Saint-Michel d'Aiguilhe"	"viewpoint"
"42.8709403"	"-0.1064794"	"Cascade de Lutour"	"attraction"
"44.1967297"	"5.9444920"	"Tour de l'horloge"	"attraction"
"46.0611025"	"3.7058559"	"musée agricole"	"museum"
"49.6775006"	"-1.9397688"	"Nez de Jobourg"	"attraction"
"48.0093582"	"-2.2008304"	"Hêtre des Voyageurs"	"attraction"
"48.2954313"	"7.3132626"	"Rocher du Coucou"	"viewpoint"
"48.8715793"	"2.2138544"	"Mémorial de la France combattante"	"memorial"
"48.8715793"	"2.2138544"	"Mémorial de la France combattante"	"attraction"
"47.6062173"	"3.4250577"	"Carrière souterraine d'Aubigny"	"attraction"
"47.8826240"	"3.4186151"	"Musée des arts populaires"	"museum"
"43.1753226"	"-1.4019846"	"Mugarrien 91. zenbakia"	"boundary_stone"
"43.1753226"	"-1.4019846"	"Mugarrien 91. zenbakia"	"attraction"
"44.9411955"	"4.8504713"	"Musée de Crussol"	"museum"
"44.9385343"	"4.8525909"	"Vue sur le Vercors et Valence"	"viewpoint"
"48.8695919"	"-3.2246570"	"Pointe du Château"	"viewpoint"
